key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
2396850124; EJ1245174,Using Latent Semantic Analysis to Score Short Answer Constructed Responses: Automated Scoring of the Consequences Test,2020,,,Educational and Psychological Measurement,"0013-1644, 0013-1644",80,2,399-414,"LaVoie, Noelle and Parker, James and Legree, Peter J. and Ardison, Sharon and Kilcullen, Robert N.",https://search.proquest.com/docview/2396850124?accountid=14433,English,"SAGE Publications, 2455 Teller Road, Thousand Oaks, CA 91320",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
Vertragsnummer - W911NF13C0083
SubjectsTermNotLitGenreText - 9537ER5 9545ER5 6106ER5 10874ER5 7834ER5 4935ER5 5983ER5 2766ER5 6108ER5 9842ER5 9385ER5  9503 2754 6089 9804 9351 5964 9511 7807 4918 6087 10830;  3653ER5 8043ER5 4558ER5  3639 8016 4542;  3597ER5 6132ER5 7130ER5 8402ER5 6139ER5 4935ER5 5983ER5  3583 6113 7104 8371 6120 4918 5964;  9405ER5 6461ER5  9371 6440;  2026ER5 2085ER5 2084ER5 10719ER5  2015 2074 2073 10675;  2402ER5 10833ER5 6468ER5  2391 10789 6447;  2396ER5 1719ER5  2385 1710;  2278ER5 10125ER5 2586ER5 3643ER5 6603ER5  2267 10087 2574 3629 6582;  11671ER5 3640ER5  11625 3626;  6705ER5 4418ER5 3431ER5 5722ER5 4925ER5 8950ER5 8043ER5 4558ER5  6683 4403 3417 8016 4542 5703 4908 8917;  11254ER5 3641ER5 2427ER5 10069ER5  11210 3627 2416 10031;  2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675;  6709ER5 10984ER5  6687 10939 RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not targeted at improving writing",,
2396849338; EJ1244313,Enhancing Summary Writing of ESL Learners via a Theory-Based Online Tool: System Development and Evaluation,2020,,,Journal of Educational Computing Research,"0735-6331, 0735-6331",58,2,398-432,"Chew, Chiou Sheng and Wu, Wen-Chi Vivian and Idris, Norisma and Loh, Er Fu and Chua, Yan Piaw",https://search.proquest.com/docview/2396849338?accountid=14433,English,"SAGE Publications, 2455 Teller Road, Thousand Oaks, CA 91320",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 11681ER5 5811ER5 9726ER5 1ER5 11661ER5 11271ER5  11635 11615 11225 1 5792 9690;  11675ER5 5259ER5  11629 5242;  3503ER5 5799ER5 8043ER5 4558ER5  3489 5780 8016 4542;  1815ER5 10321ER5 8043ER5 4558ER5  1806 10278 8016 4542;  2065ER5 5172ER5 8290ER5 3164ER5  2054 5155 8260 3150;  10664ER5 3241ER5 6603ER5  10621 3227 6582;  3282ER5 10713ER5  3268 10669;  10719ER5  10675;  9721ER5 5070ER5 2799ER5  9685 5053 2787;  8330ER5  8299;  2994ER5 5167ER5 5176ER5 9591ER5  2981 5150 5159 9556;  2169ER5 5932ER5 10874ER5  2158 5913 10830;  8230ER5 5901ER5  8200 5882;  11682ER5 6603ER5  11636 6582;  2094ER5 6603ER5  2083 6582;  9154ER5 10664ER5 3241ER5 6603ER5  9121 10621 3227 6582;  4124ER5 4350ER5  4109 4335; Malaysia RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: second language",,
2396844124; EJ1245158,The Monster in the Classroom: Assessing Language to Inform Instruction,2020,,,Reading Teacher,"0034-0561, 0034-0561",73,5,603-616,"Goodwin, Amanda P. and Petscher, Yaacov and Jones, Sara and McFadden, Sara and Reynolds, Dan and Lantos, Tess",https://search.proquest.com/docview/2396844124?accountid=14433,English,"Wiley-Blackwell, 350 Main Street, Malden, MA 02148",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
Vertragsnummer - R305A150199
SubjectsTermNotLitGenreText - 2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675;  4612ER5 3351ER5 3567ER5  4595 3337 3553;  5798ER5  5779;  5816ER5 11279ER5 10833ER5 6468ER5  5797 11233 10789 6447;  11371ER5  11325;  8655ER5 11271ER5 1ER5  8623 11225 1;  11681ER5 5811ER5 9726ER5 1ER5 11661ER5 11271ER5  11635 11615 11225 1 5792 9690;  10664ER5 3241ER5 6603ER5  10621 3227 6582; Game Based Learning;  7415ER5 5765ER5  7389 5746;  8663ER5 2000ER5 5350ER5 8440ER5 5068ER5 8693ER5 5811ER5 9726ER5 1ER5 8655ER5 11271ER5  8631 1989 5333 8409 5051 8661 8623 11225 1 5792 9690 RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not empirical,mediated (peer/teacher)",,
2396842489; EJ1241689,Automated Writing Evaluation and Feedback: Multiple Metrics of Efficacy,2020,,,Journal of Educational Computing Research,"0735-6331, 0735-6331",58,1,87-125,"Wilson, Joshua and Roscoe, Rod D.",https://search.proquest.com/docview/2396842489?accountid=14433,English,"SAGE Publications, 2455 Teller Road, Thousand Oaks, CA 91320",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 830ER5 10713ER5  828 10669;  11671ER5 3640ER5  11625 3626;  3939ER5 5365ER5 8800ER5  3924 5348 8768;  5265ER5  5248;  9500ER5 9503ER5 9485ER5  9466 9469 9451;  4438ER5 5281ER5  4423 5264;  3096ER5 318ER5 8043ER5 4558ER5  3083 316 8016 4542;  6665ER5 10321ER5 8043ER5 4558ER5  6644 10278 8016 4542;  11675ER5 5259ER5  11629 5242;  11674ER5 5016ER5  11628 4999;  10068ER5 10833ER5 6468ER5  10030 10789 6447;  10525ER5 732ER5  10482 730;  11237ER5 3641ER5 2427ER5 10069ER5 7739ER5 5144ER5  11193 3627 2416 10031 7712 5127;  6997ER5 2596ER5 5167ER5 5176ER5 9591ER5  6971 2584 5150 5159 9556;  2026ER5 2085ER5 2084ER5 10719ER5  2015 2074 2073 10675;  1856ER5 60ER5 10069ER5 10111ER5; Texas RAYYAN-INCLUSION: {""juergen.schneider""=>""Included""}",,
2396845004; EJ1243006,A Mixed-Methods Study of Feedback Modes in EFL Writing,2020,,,Language Learning & Technology,,24,1,107-128,"Bakla, Arif",https://search.proquest.com/docview/2396845004?accountid=14433,English,"University of Hawaii National Foreign Language Resource Center, 1859 East-West Road #106, Honolulu, HI 96822",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 3939ER5 5365ER5 8800ER5  3924 5348 8768;  3495ER5 9442ER5 5765ER5 3494ER5 5095ER5 5821ER5  3481 9408 5746 3480 5078 5802;  2026ER5 2085ER5 2084ER5 10719ER5  2015 2074 2073 10675;  11675ER5 5259ER5  11629 5242;  11674ER5 5016ER5  11628 4999;  4124ER5 4350ER5  4109 4335;  5265ER5  5248;  9008ER5 11678ER5  8975 11632;  1784ER5 1815ER5 10321ER5 8043ER5 4558ER5  1775 1806 10278 8016 4542;  11700ER5 227ER5 318ER5 8043ER5 4558ER5  11654 226 316 8016 4542;  8131ER5 732ER5  8102 730;  773ER5 6891ER5 10664ER5 3241ER5 6603ER5  771 6866 10621 3227 6582;  5418ER5 2854ER5  5401 2842; Turkey RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: second language",,
2396852411; EJ1246013,Cloud-Based Collaborative Writing to Develop EFL Students' Writing Quantity and Quality,2020,,,International Education Studies,"1913-9020, 1913-9020",13,3,51-64,"Ahmad, Samah Zakareya",https://search.proquest.com/docview/2396852411?accountid=14433,English,"Canadian Center of Science and Education, 1120 Finch Avenue West Suite 701-309, Toronto, ON M3J 3H7, Canada",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 9438ER5 5901ER5  9404 5882;  9437ER5 4936ER5 5259ER5  9403 4919 5242;  3495ER5 9442ER5 5765ER5 3494ER5 5095ER5 5821ER5  3481 9408 5746 3480 5078 5802;  2070ER5  2059;  11675ER5 5259ER5  11629 5242;  8195ER5 10833ER5 6468ER5  8166 10789 6447;  1744ER5 2232ER5 912ER5 11678ER5  1735 2221 909 11632;  1815ER5 10321ER5 8043ER5 4558ER5  1806 10278 8016 4542;  11671ER5 3640ER5  11625 3626;  11674ER5 5016ER5  11628 4999;  3597ER5 6132ER5 7130ER5 8402ER5 6139ER5 4935ER5 5983ER5  3583 6113 7104 8371 6120 4918 5964;  10664ER5 3241ER5 6603ER5  10621 3227 6582;  9342ER5 9339ER5 5258ER5  9308 9306 5241;  4124ER5 4350ER5  4109 4335; Saudi Arabia RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: second language",,
2396847231; EJ1246162,The Role of Pre-Writing Strategies to Enhance the Students' Idea Generating Abilities: The Case of First-Year Computer Science Students of Haramaya University,2020,,,International Journal of Education and Literacy Studies,,8,1,40-47,"Alemu, Melkamu",https://search.proquest.com/docview/2396847231?accountid=14433,English,"Australian International Academic Centre PTY, LTD. 11 Souter Crescent, Footscray VIC 3011, Australia",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 8204ER5 11678ER5  8175 11632;  2065ER5 5172ER5 8290ER5 3164ER5  2054 5155 8260 3150;  1784ER5 1815ER5 10321ER5 8043ER5 4558ER5  1775 1806 10278 8016 4542;  4124ER5 4350ER5  4109 4335;  11682ER5 6603ER5  11636 6582;  1140ER5 2388ER5 126ER5  1137 2377 126;  10219ER5 732ER5  10181 730;  11681ER5 5811ER5 9726ER5 1ER5 11661ER5 11271ER5  11635 11615 11225 1 5792 9690;  7811ER5 9016ER5 5771ER5  7784 8983 5752;  3495ER5 9442ER5 5765ER5 3494ER5 5095ER5 5821ER5  3481 9408 5746 3480 5078 5802;  891ER5 11675ER5 5259ER5 11660ER5 6120ER5 5771ER5  888 11629 5242 11614 5752 6101; Ethiopia RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not computer-based",,
2396828909; EJ1239005,Collaborative Writing Using Google Docs in Primary Education: Development of Argumentative Discourse,2020,,,Turkish Online Journal of Distance Education,,21,1,133-142,"Zioga, Chrysoula and Bikos, Konstantinos",https://search.proquest.com/docview/2396828909?accountid=14433,English,"Anadolu University, Office of the Rector, Eskisehir, 26470, Turkey",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 4124ER5 4350ER5  4109 4335;  3377ER5 10321ER5 8043ER5 4558ER5  3363 10278 8016 4542;  4437ER5 5281ER5  4422 5264;  1744ER5 2232ER5 912ER5 11678ER5  1735 2221 909 11632;  2026ER5 2085ER5 2084ER5 10719ER5  2015 2074 2073 10675;  11675ER5 5259ER5  11629 5242;  7811ER5 9016ER5 5771ER5  7784 8983 5752;  6991ER5 4936ER5 5259ER5  6965 4919 5242;  4506ER5 5095ER5 5821ER5  4490 5078 5802;  11681ER5 5811ER5 9726ER5 1ER5 11661ER5 11271ER5  11635 11615 11225 1 5792 9690;  11491ER5  11445;  11674ER5 5016ER5  11628 4999;  5265ER5  5248; Greece RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not feedback",,
2396837707; EJ1233388,Coordinating Collaborative Writing in an Online Environment,2019,,,Journal of Computing in Higher Education,"1042-1726, 1042-1726",31,3,536-556,"Nykopp, Minna and Marttunen, Miika and Erkens, Gijsbert",https://search.proquest.com/docview/2396837707?accountid=14433,English,"Springer, Available from: Springer Nature. 233 Spring Street, New York, NY 10013",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 3354ER5 5901ER5 10719ER5  3340 10675 5882;  1744ER5 2232ER5 912ER5 11678ER5  1735 2221 909 11632;  2245ER5  2234;  1815ER5 10321ER5 8043ER5 4558ER5  1806 10278 8016 4542;  11662ER5 96ER5  11616 96;  3597ER5 6132ER5 7130ER5 8402ER5 6139ER5 4935ER5 5983ER5  3583 6113 7104 8371 6120 4918 5964;  2054ER5 1860ER5 10724ER5 1873ER5 10713ER5  2043 10680 1862 10669 1849;  11678ER5  11632 RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Duplicate",,
2396832310; EJ1238441,Automated Essay Scoring at Scale: A Case Study in Switzerland and Germany. TOEFL® Research Report. RR-86. ETS RR-19-12,2019,,,ETS Research Report Series,,,,1-23,"Rupp, André A. and Casabianca, Jodi M. and Krüger, Maleika and Keller, Stefan and Köller, Olaf",https://search.proquest.com/docview/2396832310?accountid=14433,English,"Educational Testing Service, Rosedale Road, MS19-R Princeton, NJ 08541",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 830ER5 10713ER5  828 10669;  4124ER5 4350ER5  4109 4335;  3495ER5 9442ER5 5765ER5 3494ER5 5095ER5 5821ER5  3481 9408 5746 3480 5078 5802;  5816ER5 11279ER5 10833ER5 6468ER5  5797 11233 10789 6447;  9438ER5 5901ER5  9404 5882;  4755ER5 9453ER5 10321ER5 8043ER5 4558ER5  4738 9419 10278 8016 4542;  2473ER5 10158ER5  2462 10120;  5478ER5 8808ER5 3641ER5 2427ER5 10069ER5  5459 8776 3627 2416 10031;  198ER5 318ER5 8043ER5 4558ER5  197 316 8016 4542;  6467ER5 6603ER5  6446 6582;  11671ER5 3640ER5  11625 3626;  3597ER5 6132ER5 7130ER5 8402ER5 6139ER5 4935ER5 5983ER5  3583 6113 7104 8371 6120 4918 5964;  9405ER5 6461ER5  9371 6440;  2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675;  3653ER5 8043ER5 4558ER5  3639 8016 4542;  6775ER5 9687ER5 6603ER5  6752 9651 6582; Switzerland; Germany RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: second language",,
2396832228; EJ1238530,Prediction of Writing True Scores in Automated Scoring of Essays by Best Linear Predictors and Penalized Best Linear Predictors. Research Report. ETS RR-19-13,2019,,,ETS Research Report Series,,,,1-27,"Yao, Lili and Haberman, Shelby J. and Zhang, Mo",https://search.proquest.com/docview/2396832228?accountid=14433,English,"Educational Testing Service, Rosedale Road, MS19-R Princeton, NJ 08541",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 8123ER5  8094;  11071ER5 9404ER5 2584ER5  11027 9370 2572;  2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675;  9405ER5 6461ER5  9371 6440;  3597ER5 6132ER5 7130ER5 8402ER5 6139ER5 4935ER5 5983ER5  3583 6113 7104 8371 6120 4918 5964;  11671ER5 3640ER5  11625 3626;  4759ER5 10833ER5 6468ER5  4742 10789 6447;  3495ER5 9442ER5 5765ER5 3494ER5 5095ER5 5821ER5  3481 9408 5746 3480 5078 5802;  5816ER5 11279ER5 10833ER5 6468ER5  5797 11233 10789 6447;  9438ER5 5901ER5  9404 5882;  4468ER5 4761ER5 8075ER5 3164ER5  4453 4744 8046 3150;  1781ER5 10833ER5 6468ER5  1772 10789 6447;  11685ER5 11279ER5 10833ER5 6468ER5  11639 11233 10789 6447;  94ER5 3641ER5 2427ER5 10069ER5  94 3627 2416 10031 RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: second language",,
2396840161; EJ1233426,Using Topic Modeling to Extract Pre-Service Teachers' Understandings of Computational Thinking from Their Coding Reflections,2019,,,IEEE Transactions on Education,"0018-9359, 0018-9359",62,4,325-332,"Cutumisu, Maria and Guo, Qi",https://search.proquest.com/docview/2396840161?accountid=14433,English,"Institute of Electrical and Electronics Engineers, Inc. 445 Hoes Lane, Piscataway, NJ 08854",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
SubjectsTermNotLitGenreText - 8174ER5 1815ER5 10321ER5 8043ER5 4558ER5  8145 1806 10278 8016 4542;  2014ER5 6415ER5  2003 6394;  8755ER5 1719ER5  8723 1710;  1706ER5 1602ER5 7430ER5  1699 1595 7404;  3282ER5 10713ER5  3268 10669;  4124ER5 4350ER5  4109 4335;  8263ER5 1719ER5  8233 1710;  2065ER5 5172ER5 8290ER5 3164ER5  2054 5155 8260 3150;  1815ER5 10321ER5 8043ER5 4558ER5  1806 10278 8016 4542;  10229ER5  10187;  10219ER5 732ER5  10181 730;  10896ER5 1708ER5 1ER5 9726ER5  10852 1701 1 9690; Canada RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Duplicate",,
2396840081; ED600669,A Summary of the Research on Effects of Test Accommodations: 2015-2016. NCEO Report 412,2019,,,National Center on Educational Outcomes,,,,1-111,"Rogers, Christopher M. and Thurlow, Martha L. and Lazarus, Sheryl S. and Liu, Kristin K.",https://search.proquest.com/docview/2396840081?accountid=14433,English,"National Center on Educational Outcomes, University of Minnesota, 207 Pattee Hall, 150 Pillsburg Drive Southeast, Minneapolis, MN 55455",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2020-05-01
Vertragsnummer - H326G160001
SubjectsTermNotLitGenreText - 10828ER5  10784; Students with Disabilities;  3382ER5 3164ER5  3368 3150;  8075ER5 3164ER5  8046 3150;  5910ER5 2890ER5  5891 2877;  726ER5 2890ER5  724 2877;  3401ER5 6552ER5 2890ER5  3387 6531 2877;  916ER5 2890ER5  913 2877;  7177ER5 10833ER5 6468ER5  7151 10789 6447;  8698ER5 11279ER5 10833ER5 6468ER5  8666 11233 10789 6447;  6444ER5 10833ER5 6468ER5  6423 10789 6447;  9383ER5 10833ER5 6468ER5  9349 10789 6447;  11685ER5 11279ER5 10833ER5 6468ER5  11639 11233 10789 6447;  5771ER5  5752;  9849ER5 9842ER5 9385ER5 5983ER5 2526ER5  9811 9804 9351 5964 2515;  10219ER5 732ER5  10181 730;  10525ER5 732ER5  10482 730;  10825ER5 11254ER5 3641ER5 2427ER5 10069ER5  10781 11210 3627 2416 10031;  10806ER5  10762;  2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675 RAYYAN-INCLUSION: {""juergen.schneider""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not targeted at improving writing",,
2228697064; EJ1211351,Automated Text Scoring and Real-Time Adjustable Feedback: Supporting Revision of Scientific Arguments Involving Uncertainty,2019,,,Science Education,"0036-8326, 0036-8326",103,3,590-622,"Lee, Hee-Sun and Pallant, Amy and Pryputniewicz, Sarah and Lord, Trudi and Mulholland, Matthew and Liu, Ou Lydia",https://search.proquest.com/docview/2228697064?accountid=14433,English,"Wiley-Blackwell, 350 Main Street, Malden, MA 02148",,,"Anzahl der Quellenangaben - -1
Zuletzt aktualisiert - 2019-05-22
Vertragsnummer - DRL1418019; DRL1220756
SubjectsTermNotLitGenreText - 6665ER5 10321ER5 8043ER5 4558ER5  6644 10278 8016 4542;  4755ER5 9453ER5 10321ER5 8043ER5 4558ER5  4738 9419 10278 8016 4542;  10247ER5 3640ER5  10205 3626;  9361ER5 3164ER5  9327 3150;  9453ER5 10321ER5 8043ER5 4558ER5  9419 10278 8016 4542;  9376ER5 9726ER5 1ER5  9342 9690 1;  7811ER5 9016ER5 5771ER5  7784 8983 5752;  11660ER5 6120ER5 5771ER5  11614 5752 6101;  9383ER5 10833ER5 6468ER5  9349 10789 6447;  2029ER5 2085ER5 2084ER5 10719ER5 10827ER5 6467ER5 6603ER5  2018 10783 6446 6582 2074 2073 10675;  9405ER5 6461ER5  9371 6440;  3939ER5 5365ER5 8800ER5  3924 5348 8768;  4159ER5 3640ER5  4144 3626;  450ER5  448;  9008ER5 11678ER5  8975 11632;  9408ER5 3643ER5 6603ER5  9374 3629 6582;  3111ER5 7895ER5 7002ER5 9385ER5 5983ER5  3097 7868 6976 9351 5964;  3535ER5 3164ER5  3521 3150;  11462ER5  11416 RAYYAN-INCLUSION: {""juergen.schneider""=>""Included""}",,
